pur,total_pur,eff,total_auc,epoch,auc,val_neg_loss,step,val_loss,val_pos_loss,target_pur,current_lr,train_neg_loss,train_pos_loss,train_loss
nan,nan,0.00488886097446084,0.6323199272155762,0,0.6323199272155762,0.14162325859069824,94,0.40018635988235474,0.2585630714893341,nan,0.0004999997327104211,,,
,,,,0,,,94,,,,,0.2004261165857315,0.23164679110050201,0.43207305669784546
0.5466815829277039,0.5466815829277039,0.03861489146947861,0.6670985221862793,1,0.6670985221862793,0.13895203173160553,189,0.3857209086418152,0.24676887691020966,0.5466815829277039,0.0009999994654208422,,,
,,,,1,,,189,,,,,0.13392950594425201,0.25030872225761414,0.38423818349838257
0.5770472288131714,0.5770472288131714,0.09042031317949295,0.6797851324081421,2,0.6797851324081421,0.12873828411102295,284,0.38001853227615356,0.251280277967453,0.5770472288131714,0.0009000002755783498,,,
,,,,2,,,284,,,,,0.12591803073883057,0.24688386917114258,0.3728019595146179
0.5184857845306396,0.5184857845306396,0.2023428976535797,0.8091042041778564,3,0.8091042041778564,0.18153467774391174,379,0.3551080822944641,0.17357340455055237,0.5184857845306396,0.0009000002755783498,,,
,,,,3,,,379,,,,,0.12707312405109406,0.2350781261920929,0.36215126514434814
