particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q,radius,pt,particle_eta,nhits
4503599644147712,-13,0,0,0,0,0,0.0695511177,3.30319977,-17.6954193,0.105658375,1,0.0,3.303931911904568,-2.379943228461073,11
4503599660924928,13,0,0,0,0,0,-4.79762125,6.2303648,-36.585556,0.105658375,-1,0.0,7.863498915847233,-2.241923155981613,12
4503599677702144,13,0,0,0,0,0,3.64911318,8.50495243,-13.0750437,0.105658375,-1,0.0,9.254741640748952,-1.1453959906247513,12
4503599694479360,-13,0,0,0,0,0,-8.23886299,-0.487302423,33.752285,0.105658375,1,0.0,8.253261598874314,2.116210440955729,12
4503599711256576,-13,0,0,0,0,0,8.70639801,0.286640167,9.96760464,0.105658375,1,0.0,8.711115249718013,0.9797810266437126,11
4503599728033792,13,0,0,0,0,0,-8.5005846,-2.64210415,-0.823719621,0.105658375,-1,0.0,8.901721905407086,-0.09240331166055468,12
4503599744811008,13,0,0,0,0,0,-3.54389262,-0.835891545,-20.8763962,0.105658375,-1,0.0,3.641138500125057,-2.4469896795103256,11
4503599761588224,13,0,0,0,0,0,-4.82183361,6.92119837,22.6950588,0.105658375,-1,0.0,8.435227693394904,1.7157505006398852,15
4503599778365440,-13,0,0,0,0,0,-0.459414721,4.23190212,0.563609719,0.105658375,1,0.0,4.256766077567806,0.13201943146619713,11
4503599795142656,-13,0,0,0,0,0,-0.717196286,2.57701874,4.40073967,0.105658375,1,0.0,2.6749572144173412,1.272679177300052,9
4503599811919872,13,0,0,0,0,0,2.86552238,3.47190952,-0.634837985,0.105658375,-1,0.0,4.5017079231495565,-0.14055830072194314,16
4503599828697088,13,0,0,0,0,0,-3.77062297,1.67074585,-2.90779781,0.105658375,-1,0.0,4.124195591528588,-0.6568054594358628,14
4503599845474304,-13,0,0,0,0,0,-0.82902199,2.29173422,1.22765958,0.105658375,1,0.0,2.437072669212506,0.4845576272980339,13
4503599862251520,-13,0,0,0,0,0,-3.2066288,9.3012495,14.9505587,0.105658375,1,0.0,9.838481108496358,1.2055865525370466,11
4503599879028736,13,0,0,0,0,0,-6.32073784,-2.59486294,6.15676212,0.105658375,-1,0.0,6.832645206608734,0.8096697145374129,13
4503599895805952,13,0,0,0,0,0,7.6214757,-5.24621201,-3.95348024,0.105658375,-1,0.0,9.25254734111416,-0.4152486367767578,14
4503599912583168,-13,0,0,0,0,0,0.6888901,-3.19896173,13.649869,0.105658375,1,0.0,3.2722967041334448,2.1354526290351723,11
4503599929360384,-13,0,0,0,0,0,1.99756086,0.835349739,1.69714057,0.105658375,1,0.0,2.1651925031856423,0.71999092889938,15
4503599946137600,-13,0,0,0,0,0,1.36407447,-8.80641842,-0.826275289,0.105658375,1,0.0,8.911436727476724,-0.09258842731791535,11
4503599962914816,-13,0,0,0,0,0,5.70024109,6.07181978,43.908802,0.105658375,1,0.0,8.328249751593887,2.3644835198910568,13
