particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q,radius,pt,particle_eta,nhits
4503599644147712,13,0,0,0,0,0,0.848027229,1.26476276,4.62848806,0.105658375,-1,0.0,1.5227524487612016,1.83088082221186,10
4503599660924928,13,0,0,0,0,0,4.27556467,5.36205721,-31.1338291,0.105658375,-1,0.0,6.857996119178341,-2.2179421655570652,10
4503599677702144,-13,0,0,0,0,0,1.44139445,-2.5291512,-6.84722376,0.105658375,1,0.0,2.911052001073193,-1.5908751406214543,10
4503599694479360,-13,0,0,0,0,0,-4.81171894,-4.37730551,-37.9707489,0.105658375,1,0.0,6.50487837591381,-2.4646684328747286,13
4503599711256576,13,0,0,0,0,0,-1.6667676,6.28957224,-19.1950054,0.105658375,-1,0.0,6.506676048074652,-1.802530701813389,12
4503599728033792,13,0,0,0,0,0,3.05295897,-0.508042872,-11.7843904,0.105658375,-1,0.0,3.0949420079047476,-2.046967869201152,14
4503599744811008,-13,0,0,0,0,0,1.75014913,5.34907484,2.69413257,0.105658375,1,0.0,5.628110128734226,0.4620728318509588,12
4503599761588224,13,0,0,0,0,0,4.53816748,-5.48988676,-1.78096557,0.105658375,-1,0.0,7.122767770617884,-0.24750373025036576,11
4503599778365440,13,0,0,0,0,0,9.19519711,-3.05905056,21.6098042,0.105658375,-1,0.0,9.690688325417792,1.5419867176330884,13
4503599795142656,13,0,0,0,0,0,3.0625689,0.308268517,-5.19665956,0.105658375,-1,0.0,3.0780444678107868,-1.2948726000502466,10
