particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q,radius,pt,particle_eta,nhits
4503599644147712,13,0,0,0,0,0,2.29750562,-0.757087588,-1.42695928,0.105658375,-1,0.0,2.419031560322279,-0.5601351783557634,11
4503599660924928,-13,0,0,0,0,0,2.14924479,-8.26693058,-22.12146,0.105658375,1,0.0,8.54174422362794,-1.68007743004337,12
4503599677702144,13,0,0,0,0,0,-1.96274722,-2.58848667,-1.50721395,0.105658375,-1,0.0,3.248482705877533,-0.44876005284695647,13
4503599694479360,-13,0,0,0,0,0,1.45115948,2.31232762,-6.78383827,0.105658375,1,0.0,2.729967556328964,-1.6416279039857165,12
4503599711256576,13,0,0,0,0,0,7.2396183,2.88083744,10.9833097,0.105658375,-1,0.0,7.791745471035399,1.1435541415585537,13
4503599728033792,13,0,0,0,0,0,2.68166137,1.0375458,-15.8433075,0.105658375,-1,0.0,2.8753797993391963,-2.407844221607216,14
4503599744811008,-13,0,0,0,0,0,2.47279286,-8.47190952,-7.25774908,0.105658375,1,0.0,8.825415312807303,-0.7500404683433056,13
4503599761588224,13,0,0,0,0,0,5.35172033,-7.26022243,-47.5031281,0.105658375,-1,0.0,9.019519955275358,-2.363445024453463,14
4503599778365440,-13,0,0,0,0,0,-1.14883626,-4.66794872,15.4790335,0.105658375,1,0.0,4.807241413205751,1.8857946492345035,11
4503599795142656,-13,0,0,0,0,0,7.79398632,-3.98350978,33.9943619,0.105658375,1,0.0,8.752975089859607,2.0661250852927995,13
