particle_id,geometry_id,x,y,z,t,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,volume_id,layer_id,module_id,hit_id,measurement_id,region,hardware,hit_barrel_endcap,hit_layer_disk,hit_eta_module,hit_phi_module
4503599744811008,504403295704460032,-154.429703,-40.4323921,-1502.0,1510.48962,-1.7461412,-0.505560637,-17.1064949,17.2031384,0.000191765881,0.00012616915,-2.32366801e-05,-6.46222844e-08,7,2,43,0,0,1.0,PIXEL,2,2,43,43
4503599644147712,504403295704472320,9.20705891,173.612808,-1502.0,1512.07251,0.13810797,1.64860928,-14.3123417,14.4080276,0.000431244669,-0.000224160918,-2.16084572e-05,-4.23009929e-08,7,2,91,1,1,1.0,PIXEL,2,2,91,91
4503599744811008,504403433143413504,-134.010239,-34.5976067,-1302.0,1309.36145,-1.7484951,-0.493937761,-17.106596,17.2031384,0.000223516399,0.000997172436,-5.1557683e-05,-4.99026385e-08,7,4,43,2,2,1.0,PIXEL,2,4,43,43
4503599644147712,504403433143425792,7.36757708,150.565948,-1302.0,1310.73511,0.124516487,1.64967179,-14.3123465,14.4080305,0.000214238258,0.000142643956,1.84631263e-05,-1.54459244e-07,7,4,91,3,3,1.0,PIXEL,2,4,91,91
4503599744811008,504403570582366976,-113.548569,-28.8928204,-1102.0,1108.23279,-1.75197136,-0.481698036,-17.1065884,17.2031384,0.000121406461,-0.000114785173,-9.16142471e-06,-3.91861015e-08,7,6,43,4,4,1.0,PIXEL,2,6,43,43
4503599644147712,504403570582379264,5.72639608,127.487686,-1102.0,1109.396,0.111182131,1.65216577,-14.3121691,14.4080305,-0.000658595411,-0.000167469028,-2.43793493e-05,-5.26147126e-08,7,6,91,5,5,1.0,PIXEL,2,6,91,91
4503599660924928,504403570582381312,-93.0161438,118.299255,-1102.0,1112.23547,-2.46907544,3.06644964,-28.8336506,29.1013756,-5.77903957e-05,5.23307244e-05,1.06437483e-05,-1.28400671e-07,7,6,99,6,6,1.0,PIXEL,2,6,99,99
4503599744811008,504403708021309952,-98.7999268,-24.8818016,-958.0,963.421143,-1.75511515,-0.471829057,-17.1065426,17.2031403,0.000178216636,7.51410407e-05,-2.03042418e-05,-5.17433847e-08,7,8,2,7,7,1.0,PIXEL,2,8,2,2
4503599644147712,504403708021332736,4.66998434,111.323441,-962.0,968.45813,0.10288509,1.65288377,-14.312149,14.4080315,0.000289385149,-0.000105963612,-9.84087728e-06,-3.10972297e-07,7,8,91,8,8,1.0,PIXEL,2,8,91,91
4503599660924928,504403708021334784,-81.0446701,103.369308,-962.0,970.932739,-2.46117783,3.07880664,-28.8330097,29.1013756,0.000111118759,-0.00032114418,-4.36982773e-05,-7.60208252e-08,7,8,99,9,9,1.0,PIXEL,2,8,99,99
4503599744811008,504403845460263424,-84.426651,-21.0556507,-818.0,822.630615,-1.75735033,-0.462866485,-17.1065598,17.2031403,2.90578628e-05,3.14493445e-05,-3.79593303e-06,-3.98426998e-08,7,10,2,10,10,1.0,PIXEL,2,10,2,2
4503599644147712,504403845460270592,3.66467071,94.6568832,-818.0,823.489441,0.0948033705,1.65643609,-14.3117952,14.4080324,-0.000966062886,0.000443304802,4.49861254e-05,-3.79110432e-08,7,10,30,11,11,1.0,PIXEL,2,10,30,30
4503599660924928,504403845460288000,-68.7812424,87.9743271,-818.0,825.592834,-2.4495604,3.08481359,-28.8333588,29.1013775,-8.07035394e-05,0.000487367739,5.90620912e-05,-5.86872311e-08,7,10,98,12,12,1.0,PIXEL,2,10,98,98
4503599660924928,504403845460288256,-69.1211472,88.4024277,-822.0,829.630066,-2.45063066,3.08648562,-28.8330879,29.1013775,-0.000521905196,-0.000473511085,-6.25219627e-06,-6.76932927e-08,7,10,99,13,13,1.0,PIXEL,2,10,99,99
4503599744811008,504403982899216896,-72.0921097,-17.8346519,-698.0,701.953064,-1.76170588,-0.455885679,-17.1062984,17.2031403,0.000786681427,0.000467954029,-9.34049822e-05,-5.80189869e-08,7,12,2,14,14,1.0,PIXEL,2,12,2,2
4503599644147712,504403982899224064,2.90479374,80.7661743,-698.0,702.682495,0.0857073665,1.65735352,-14.3117476,14.4080334,1.38488158e-05,-2.28382214e-05,-2.51947108e-06,-4.20368167e-08,7,12,30,15,15,1.0,PIXEL,2,12,30,30
4503599660924928,504403982899225344,-58.9413528,75.5518799,-702.0,708.514587,-2.44192886,3.0915885,-28.8332806,29.1013775,-0.000183238008,-0.000875208061,-7.8270321e-05,-3.90350472e-08,7,12,35,16,16,1.0,PIXEL,2,12,35,35
4503599744811008,504404120338170368,-61.7888603,-15.1876316,-598.0,601.386963,-1.76373971,-0.450062245,-17.106245,17.2031422,0.000238612658,-0.000129057153,-2.11562783e-05,-4.79793343e-08,7,14,2,17,17,1.0,PIXEL,2,14,2,2
4503599644147712,504404120338177536,2.33052635,69.1842728,-598.0,602.009705,0.0771621838,1.66017139,-14.31147,14.4080343,-0.000774532382,-0.000227058379,-3.03829984e-05,-1.08888322e-07,7,14,30,18,18,1.0,PIXEL,2,14,30,30
4503599644147712,504404120338177792,2.35224557,69.6478958,-602.0,606.036682,0.079030849,1.65765703,-14.3117504,14.4080343,1.01572514e-05,2.77395848e-05,3.3687902e-06,-9.90688562e-08,7,14,31,19,19,1.0,PIXEL,2,14,31,31
4503599660924928,504404120338178816,-50.4844208,64.8244324,-602.0,607.585205,-2.43442893,3.09555316,-28.8334904,29.1013775,-0.000770569604,5.03930933e-05,7.05627463e-05,-8.17214527e-08,7,14,35,20,20,1.0,PIXEL,2,14,35,35
4503599744811008,576460889742385408,-31.1942959,-7.53876114,-301.631042,303.339203,-1.76629543,-0.437315285,-17.1063156,17.2031479,-0.00068772235,0.000109773551,6.86450803e-05,-4.24596749e-07,8,2,33,21,21,2.0,PIXEL,0,2,33,33
4503599644147712,576460889742388480,0.925805509,34.1538048,-296.063293,298.036224,0.0537479669,1.65241373,-14.31248,14.40804,0.000393648283,0.00323417201,0.00037588409,-6.3211354e-07,8,2,45,22,22,2.0,PIXEL,0,2,45,45
4503599644147712,576460889742392320,0.838935018,31.4420204,-272.575378,274.39151,0.0532667302,1.6508863,-14.3126583,14.40804,-0.00114470907,0.00157951913,0.000178570888,-5.04863465e-07,8,2,60,23,23,2.0,PIXEL,0,2,60,60
4503599660924928,576460889742392832,-19.289175,24.9255409,-231.112564,233.253281,-2.41470361,3.1048584,-28.834156,29.1013851,-0.000133313501,-0.000263387017,-1.68530114e-05,-3.39525513e-07,8,2,62,24,24,2.0,PIXEL,0,2,62,62
4503599728033792,576460889742401792,-30.4926414,-9.54559994,-3.55171108,32.1575966,-4.24475765,-1.33803117,-0.495032519,4.47934294,3.668918e-05,-0.000131229754,4.05021565e-05,-4.17363388e-08,8,2,97,25,25,2.0,PIXEL,0,2,97,97
4503599946137600,576460889742402816,4.9036727,-32.1155548,-3.61731243,32.697628,0.663047433,-4.40577269,-0.496135294,4.48416996,0.000232428807,4.0644285e-05,-4.91532192e-05,-1.20973525e-07,8,2,101,26,26,2.0,PIXEL,0,2,101,101
4503599895805952,576460889742403328,26.6499233,-18.2595711,-16.7714691,36.4068489,3.82206202,-2.60644984,-2.40157366,5.2134881,0.000350432267,0.000445766549,7.41198382e-05,-6.42787015e-08,8,2,103,27,27,2.0,PIXEL,0,2,103,103
