particle_id,geometry_id,x,y,z,t,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,volume_id,layer_id,module_id,hit_id,measurement_id,region,hardware,hit_barrel_endcap,hit_layer_disk,hit_eta_module,hit_phi_module
4503599845474304,504403708021325312,71.9050674,-147.400375,-958.0,971.941162,2.64377737,-5.51958609,-35.7376404,36.2580414,0.000233195591,3.32668969e-05,1.21619132e-05,-4.72305075e-08,7,8,62,0,0,1.0,PIXEL,2,8,62,62
4503599828697088,504403708021330688,112.175476,118.264984,-962.0,975.719116,3.30773115,3.42083621,-28.091013,28.4913902,-0.000211602121,-0.00113592134,-0.000163071309,-1.47573687e-07,7,8,83,1,1,1.0,PIXEL,2,8,83,83
4503599845474304,504403845460278784,61.5228844,-125.789963,-818.0,829.902527,2.65678167,-5.51291418,-35.737709,36.2580414,-0.000270521909,9.39589427e-06,-2.15051386e-05,-5.33733555e-08,7,10,62,2,2,1.0,PIXEL,2,10,62,62
4503599845474304,504403845460279040,61.8201904,-126.407028,-822.0,833.960815,2.65598655,-5.51334476,-35.7376976,36.2580414,0.000378203433,-0.000194420238,5.81804052e-05,-7.5366593e-08,7,10,63,3,3,1.0,PIXEL,2,10,63,63
4503599828697088,504403845460284160,95.7146149,101.193199,-822.0,833.723755,3.297755,3.43038702,-28.0910225,28.4913921,2.2135664e-06,-2.42409715e-06,6.19494855e-09,-4.17603019e-08,7,10,83,4,4,1.0,PIXEL,2,10,83,83
4503599845474304,504403982899232256,52.5835114,-107.287773,-698.0,708.155396,2.66446257,-5.50675011,-35.7380867,36.2580414,0.000130425469,0.000575139129,-7.83564901e-05,-5.28038413e-07,7,12,62,5,5,1.0,PIXEL,2,12,62,62
4503599845474304,504403982899232512,52.8819046,-107.904152,-702.0,712.213623,2.66741443,-5.50780249,-35.7377052,36.2580414,9.13798285e-05,6.93002512e-05,-3.82502049e-06,-3.42050583e-08,7,12,63,6,6,1.0,PIXEL,2,12,63,63
4503599828697088,504403982899237632,81.6460114,86.5212631,-702.0,712.013489,3.28889418,3.43883586,-28.0910282,28.4913921,5.10578793e-05,-4.04240745e-05,1.08616177e-06,-5.60548834e-08,7,12,83,7,7,1.0,PIXEL,2,12,83,83
4503599828697088,504403982899237888,81.1777573,86.0315552,-698.0,707.956482,3.28801727,3.43931365,-28.0910721,28.4913921,-1.07095229e-06,3.7822374e-05,4.5558636e-06,-4.97228037e-08,7,12,84,8,8,1.0,PIXEL,2,12,84,84
4503599828697088,504404120338176512,69.4859543,73.7756271,-598.0,606.531372,3.28143835,3.44576311,-28.091053,28.491394,-0.000335105928,0.000700131233,4.68240578e-05,-7.64372601e-08,7,14,26,9,9,1.0,PIXEL,2,14,26,26
4503599845474304,576460889742394880,14.6793413,-29.7069149,-193.799805,196.613007,2.69841814,-5.4831233,-35.7391853,36.2580566,0.00040037639,-0.00147990917,0.000258173095,-8.48901323e-07,8,2,70,10,10,2.0,PIXEL,0,2,70,70
4503599828697088,576460889742395904,21.8824348,23.4393635,-189.282806,191.981079,3.25424838,3.47301102,-28.0908661,28.4913998,-0.000500259921,0.000294266443,-2.12609139e-05,-3.00906464e-07,8,2,74,11,11,2.0,PIXEL,0,2,74,74
4503599828697088,576460889742396160,22.8279247,24.4484749,-197.444824,200.25946,3.25435305,3.4727385,-28.090889,28.4913998,8.33904633e-05,1.17372983e-05,1.13372162e-05,-2.22041692e-07,8,2,75,12,12,2.0,PIXEL,0,2,75,75
4503599929360384,576460889742398720,2.30689859,-32.4990387,-96.7080383,102.049507,0.625028491,-8.94402695,-26.6128941,28.082798,0.000314439065,-5.81826134e-05,2.71553799e-05,-2.03381106e-07,8,2,85,13,13,2.0,PIXEL,0,2,85,85
4503599694479360,576460889742400256,10.7733974,29.7077312,-95.7279816,100.81208,1.44427836,4.01051569,-12.9142923,13.6000099,0.000528493838,-0.000927010784,-0.000228596502,-1.280454e-07,8,2,91,14,14,2.0,PIXEL,0,2,91,91
4503599694479360,576460889742400512,11.1878681,30.8582687,-99.4336395,104.714439,1.44411707,4.00983715,-12.9145212,13.6000099,0.000327660615,-0.000363189698,-7.59747709e-05,-1.36096119e-07,8,2,92,15,15,2.0,PIXEL,0,2,92,92
4503599644147712,576460889742401792,-29.2758141,-13.0258951,-64.3867874,71.9217224,-5.41549444,-2.39912248,-11.900856,13.2937918,-8.41502333e-06,0.000356262142,-6.77221251e-05,-2.35292177e-07,8,2,97,16,16,2.0,PIXEL,0,2,97,97
4503599811919872,576460889742402048,-28.2768955,-16.2804451,-3.21019888,32.7957001,-3.80487132,-2.20257044,-0.432458311,4.41888523,-0.000293021527,0.000480684248,0.000130856613,-5.76540273e-08,8,2,98,17,17,2.0,PIXEL,0,2,98,98
4503599644147712,576460889742402048,-30.642952,-13.6313372,-67.3910599,75.2776108,-5.4158659,-2.3979466,-11.9009237,13.2937918,-0.00056947436,0.000605422247,0.000137303621,-9.46691756e-08,8,2,98,18,18,2.0,PIXEL,0,2,98,98
4503599744811008,576460889742403328,26.8781986,-17.7858696,-37.1542702,49.1965828,2.72975278,-1.79501748,-3.76615286,4.9868536,0.000213432781,-0.00026739703,0.000282261899,-6.85885482e-08,8,2,103,19,19,2.0,PIXEL,0,2,103,103
4503599728033792,576460889742405888,-33.7775002,1.34965611,58.7991676,67.8249435,-9.54892063,0.390525103,16.6246376,19.1761341,-1.3414382e-05,7.46458536e-05,-9.54678217e-06,-7.63931709e-08,8,2,113,20,20,2.0,PIXEL,0,2,113,113
4503599895805952,576460889742406912,5.42748404,-31.4079914,3.48980856,32.0678825,1.15577495,-6.63421869,0.737377346,6.77521658,0.000863109191,0.000115743387,-0.000312357937,-3.02101384e-08,8,2,117,21,21,2.0,PIXEL,0,2,117,117
4503599660924928,576460889742407168,16.7494011,-27.1940899,35.2218857,47.5476189,4.85411644,-7.86312389,10.1906776,13.7568979,-6.58397266e-06,-4.04796592e-05,-2.82026176e-05,-7.74408875e-08,8,2,118,22,22,2.0,PIXEL,0,2,118,118
4503599879028736,576460889742408192,26.7348766,17.2635441,19.7304573,37.458168,2.76869416,1.79955113,2.04724956,3.88670111,0.000385732623,0.000223637442,-0.000718500116,-4.34586021e-08,8,2,122,23,23,2.0,PIXEL,0,2,122,122
4503599962914816,576460889742408960,-3.4177773,32.1106682,7.38113928,33.126976,-0.977995336,9.09723473,2.09115982,9.3861742,0.000689012057,0.000101900121,-0.000121408637,-5.07433562e-08,8,2,125,24,24,2.0,PIXEL,0,2,125,125
4503599711256576,576460889742408960,-12.0261641,29.1008434,38.8802719,50.0336914,-2.80334783,6.75867796,9.03476715,11.6265507,-0.000197452246,-0.000821645139,0.000553234422,-7.34021057e-08,8,2,125,25,25,2.0,PIXEL,0,2,125,125
4503599711256576,576460889742409216,-12.7261333,30.7877388,41.1357384,52.9360008,-2.80455685,6.75743675,9.03532028,11.6265497,0.00156864896,-0.000513437088,0.000870638934,-5.51033672e-08,8,2,126,26,26,2.0,PIXEL,0,2,126,126
4503599728033792,576460889742409728,-31.4186382,1.25335991,54.6924095,63.0878944,-9.54922295,0.389772415,16.6244812,19.1761341,0.000244907133,-0.000661646947,0.000156061695,-9.69361906e-08,8,2,128,27,27,2.0,PIXEL,0,2,128,128
4503599862251520,576460889742409984,-30.3625755,-9.91760159,104.715378,109.485489,-2.6035893,-0.86058712,8.99071026,9.400177,0.000152110617,0.000192156032,6.21793879e-05,-2.48056637e-07,8,2,129,28,28,2.0,PIXEL,0,2,129,129
4503599677702144,576460889742413568,-29.979229,11.3505049,87.021698,92.7390671,-7.69269705,2.90246439,22.3194733,23.7859612,0.0011288086,0.000786264834,0.000286248716,-4.86381623e-07,8,2,143,29,29,2.0,PIXEL,0,2,143,143
4503599677702144,576460889742413824,-31.3165131,11.855195,90.9022141,96.8744965,-7.69187069,2.90244889,22.3197594,23.7859612,0.000224174117,0.000804521726,-2.75507537e-05,-1.60266552e-07,8,2,144,30,30,2.0,PIXEL,0,2,144,144
4503599946137600,576460889742414336,-21.9389782,-22.6328163,163.652023,166.660782,-4.46720409,-4.59387684,33.2626228,33.8743668,0.000686767569,0.000745747413,0.000194872031,-3.34043875e-07,8,2,146,31,31,2.0,PIXEL,0,2,146,146
4503599778365440,576460889742414592,-21.2042084,-24.6813202,144.971573,148.578812,-6.46563482,-7.51086617,44.155014,45.2536621,0.000739052659,-0.000370728667,4.49334402e-05,-2.11515584e-07,8,2,147,32,32,2.0,PIXEL,0,2,147,147
4503599795142656,576460889742414592,-13.6407127,-28.3260326,156.061356,159.227234,-0.471854508,-0.956121862,5.29385138,5.40118885,-2.66237066e-06,-2.12852615e-06,-8.72851956e-07,-2.46123648e-07,8,2,147,33,33,2.0,PIXEL,0,2,147,147
