particle_id,geometry_id,x,y,z,t,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,volume_id,layer_id,module_id,hit_id,measurement_id,region,hardware,hit_barrel_endcap,hit_layer_disk,hit_eta_module,hit_phi_module
4503599711256576,504403982899227904,-136.886978,-64.8936615,-702.0,718.163391,-6.35856295,-2.97046471,-32.5280952,33.2767639,-0.00050649239,4.64282784e-05,9.48459056e-05,-7.12975918e-08,7,12,45,0,0,1.0,PIXEL,2,12,45,45
4503599929360384,504403982899238912,57.628521,153.654678,-698.0,717.052124,1.2372756,3.14093113,-14.3530636,14.7450972,0.000289937161,0.000608137576,0.000158140494,-4.81994782e-08,7,12,88,1,1,1.0,PIXEL,2,12,88,88
4503599711256576,504404120338181376,-117.340889,-55.7421951,-602.0,615.860413,-6.35575342,-2.98298407,-32.5275002,33.2767639,0.000573937315,0.000360114122,-0.000145090497,-7.05571424e-08,7,14,45,2,2,1.0,PIXEL,2,14,45,45
4503599711256576,504404120338181632,-116.559273,-55.3753357,-598.0,611.76825,-6.35645962,-2.98321199,-32.5273399,33.2767677,0.000218715824,-0.000284140551,-1.66225054e-05,-5.5790558e-08,7,14,46,3,3,1.0,PIXEL,2,14,46,46
4503599929360384,504404120338192128,49.3951912,132.630127,-602.0,618.429993,1.2238965,3.14637303,-14.3530188,14.7450981,0.000773114501,-0.00050518749,-4.47254934e-05,-6.25796162e-08,7,14,87,4,4,1.0,PIXEL,2,14,87,87
4503599929360384,504404120338192384,49.0546608,131.753143,-598.0,614.32074,1.22048187,3.14757228,-14.3530531,14.7451038,-0.000561177614,-0.000194334978,-9.02028623e-05,-1.16890845e-07,7,14,88,5,5,1.0,PIXEL,2,14,88,88
4503599711256576,576460889742393600,-28.9730072,-13.8919735,-148.99411,152.420151,-6.33003092,-3.02466512,-32.5286713,33.2767715,0.000344966422,0.000660979364,-0.000128313375,-2.62632568e-07,8,2,65,6,6,2.0,PIXEL,0,2,65,65
4503599711256576,576460889742393856,-29.9803619,-14.3731785,-154.170883,157.715958,-6.32997417,-3.02340007,-32.528801,33.2767715,-0.000541030313,-0.0011120619,0.000208973273,-2.98924277e-07,8,2,66,7,7,2.0,PIXEL,0,2,66,66
4503599929360384,576460889742396416,11.2462702,31.350832,-141.731796,145.596527,1.14879251,3.17126369,-14.3537617,14.7451105,-0.00111189648,0.00143652863,0.00022877939,-2.64228674e-07,8,2,76,8,8,2.0,PIXEL,0,2,76,76
4503599929360384,576460889742400256,10.6694994,29.7578259,-134.522049,138.190201,1.14798093,3.17180538,-14.3537073,14.7451115,-0.000189375685,-0.000122945174,-4.15897048e-05,-7.02946863e-07,8,2,91,9,9,2.0,PIXEL,0,2,91,91
4503599929360384,576460889742400512,11.0702562,30.8648739,-139.532288,143.337051,1.14845538,3.17144227,-14.3537493,14.7451105,4.5812365e-05,-7.31274631e-05,-1.22338315e-05,-2.50993423e-07,8,2,92,10,10,2.0,PIXEL,0,2,92,92
4503599879028736,576460889742401536,-31.246521,4.30417871,-93.3088226,98.5162125,-1.64416218,0.23597157,-4.91343498,5.18767405,0.000844620867,-0.000646071276,-0.000313358905,-1.66728825e-07,8,2,96,11,11,2.0,PIXEL,0,2,96,96
4503599845474304,576460889742402048,-23.6844864,-21.4218273,-49.5647964,58.9655762,-3.85770273,-3.50201941,-8.08625507,9.62001514,0.000470286264,0.000407959102,-0.000400927791,-6.51406893e-08,8,2,98,12,12,2.0,PIXEL,0,2,98,98
4503599694479360,576460889742402304,-15.1251736,-28.1602993,-23.367485,39.5978127,-3.82588601,-7.14315033,-5.92365074,10.0380678,6.6698638e-05,-3.20746913e-05,-4.31733361e-06,-4.880566e-08,8,2,99,13,13,2.0,PIXEL,0,2,99,99
4503599778365440,576460889742402304,-19.13801,-26.2265377,-61.1114616,69.2025604,-3.77465081,-5.15586329,-12.0258007,13.6184416,0.000391192327,-0.000629117363,0.000147049926,-7.92378785e-08,8,2,99,14,14,2.0,PIXEL,0,2,99,99
4503599962914816,576460889742402560,-6.40587997,-31.6239033,-12.6451225,34.6584854,-1.4878552,-7.39277887,-2.95539665,8.10015011,0.00121786969,-0.000320211402,0.000188283593,-4.98646813e-08,8,2,100,15,15,2.0,PIXEL,0,2,100,100
4503599660924928,576460889742403584,31.7289047,-4.54332304,-39.1838989,50.6586914,1.77780271,-0.264289945,-2.19718814,2.84063911,3.47523019e-05,0.000161123287,8.84963993e-06,-8.13993637e-08,8,2,104,16,16,2.0,PIXEL,0,2,104,104
4503599895805952,576460889742403840,31.9667854,5.32945347,-28.8586731,43.3987732,5.69881535,0.959581017,-5.14599848,7.73884726,5.21791117e-05,0.000305097288,0.000114999486,-2.077755e-07,8,2,105,17,17,2.0,PIXEL,0,2,105,105
4503599644147712,576460889742404864,-11.6968098,29.7405052,-25.915123,41.1531372,-1.49852443,3.83652067,-3.33990121,5.30382633,-0.000324395107,-0.000327861897,-0.000230933205,-5.80392907e-08,8,2,109,18,18,2.0,PIXEL,0,2,109,109
4503599644147712,576460889742405120,-12.4584169,31.6906586,-27.6130009,43.8492088,-1.49767959,3.83664942,-3.34013224,5.30382586,0.0001166949,0.000141169134,0.000109914246,-4.90930958e-08,8,2,110,19,19,2.0,PIXEL,0,2,110,110
4503599811919872,576460889742407424,27.4236889,-15.5132647,43.6117325,53.8040428,6.99944735,-3.94861579,11.1236753,13.7233801,2.52101272e-05,0.00012918924,2.97846618e-05,-1.70343057e-07,8,2,119,20,20,2.0,PIXEL,0,2,119,119
4503599744811008,576460889742407424,29.1188812,-11.995409,45.4861565,55.3262215,6.86240053,-2.83750439,10.7263527,13.0464468,9.09032315e-05,5.2022413e-05,-4.44901088e-05,-7.73803777e-08,8,2,119,21,21,2.0,PIXEL,0,2,119,119
4503599744811008,576460889742407680,30.7740307,-12.6799088,48.073288,58.4729614,6.86208105,-2.83844471,10.7263079,13.0464468,-1.43761966e-07,-5.55860379e-06,-1.68395036e-06,-2.50740328e-07,8,2,120,22,22,2.0,PIXEL,0,2,120,120
4503599761588224,576460889742407936,32.0420341,3.61417961,31.824543,45.3137512,3.83579278,0.441905648,3.81130219,5.42639637,0.000237173386,0.000332094321,-0.000277343439,-7.65933805e-08,8,2,121,23,23,2.0,PIXEL,0,2,121,121
4503599946137600,576460889742408704,4.59286118,31.2302532,66.3861465,73.51017,1.09235561,7.36328745,15.655179,17.3351383,-5.88489929e-05,0.000540868554,-0.000250442594,-1.302502e-07,8,2,124,24,24,2.0,PIXEL,0,2,124,124
4503599728033792,576460889742408960,-5.37684774,31.4256649,4.59382772,32.213871,-1.47222328,8.66127682,1.26574302,8.87684727,-0.00010632757,-4.34492758e-05,0.000173146036,-6.85273065e-08,8,2,125,25,25,2.0,PIXEL,0,2,125,125
4503599677702144,576460889742408960,-12.2236986,29.0317841,31.1208496,44.2821388,-3.48166752,8.29295063,8.88520813,12.6433039,0.00054218818,0.00013577308,8.56028419e-05,-7.91338124e-08,8,2,125,26,26,2.0,PIXEL,0,2,125,125
4503599828697088,576460889742408960,-7.99864578,30.5090179,36.8499718,48.5176048,-0.763077259,2.87417459,3.47465682,4.57466602,2.57910269e-05,-6.03151511e-06,1.05728022e-05,-6.09677926e-08,8,2,125,27,27,2.0,PIXEL,0,2,125,125
4503599677702144,576460889742409216,-12.8966837,30.6352978,32.838829,46.7267303,-3.48016381,8.29349041,8.88529301,12.6433039,0.000330971088,-0.000124179802,0.000245456671,-5.30389066e-08,8,2,126,28,28,2.0,PIXEL,0,2,126,126
4503599912583168,576460889742410240,-28.2226715,-16.3410454,132.72261,136.671875,-4.96991444,-2.86685324,23.3559589,24.0505905,0.000635096978,0.000247422722,0.000165305624,-1.90635575e-07,8,2,130,29,29,2.0,PIXEL,0,2,130,130
4503599795142656,576460889742411520,28.5339241,-14.3498135,139.429169,143.040939,8.86132336,-4.46751928,43.3174248,44.4397583,-0.000584094785,-0.000922366744,2.40970276e-05,-2.41779588e-07,8,2,135,30,30,2.0,PIXEL,0,2,135,135
4503599862251520,576460889742415872,31.2999172,-3.35790443,178.831299,181.581772,5.62478065,-0.610727012,32.1517181,32.6459084,0.00092920434,0.00192098005,-0.000126412779,-2.67330989e-07,8,2,152,31,31,2.0,PIXEL,0,2,152,152
4503599711256576,576461027181347584,-65.692482,-31.3564396,-337.413727,345.178162,-6.34463596,-3.00407696,-32.5277328,33.2767677,-0.000326545472,-0.000868333213,0.000144164907,-2.5738666e-07,8,4,67,32,32,2.0,PIXEL,0,4,67,67
4503599929360384,576461027181352704,24.9934788,68.5126953,-310.364166,318.825897,1.18194997,3.15872431,-14.3538313,14.7451067,0.000675620104,0.000903787208,0.000254768762,-1.94959085e-07,8,4,87,33,33,2.0,PIXEL,0,4,87,87
4503599879028736,576461027181363200,-71.5431824,10.3465109,-213.985764,225.9133,-1.63899159,0.25797534,-4.91405487,5.18767214,0.000511255988,0.000717995805,-0.00013258605,-1.51634637e-07,8,4,128,34,34,2.0,PIXEL,0,4,128,128
4503599845474304,576461027181372416,-52.7899628,-47.9764824,-110.683128,131.686752,-3.84238505,-3.52178335,-8.08496284,9.62001419,0.000390083209,0.000142063509,-0.000247151416,-8.7321979e-08,8,4,164,35,35,2.0,PIXEL,0,4,164,164
4503599778365440,576461027181372672,-42.1323967,-57.5261383,-134.247391,152.013702,-3.79066157,-5.14017916,-12.0274773,13.6184406,0.000495704473,-0.00113929634,0.000330860348,-1.06407789e-07,8,4,165,36,36,2.0,PIXEL,0,4,165,165
4503599660924928,576461027181375488,71.5606308,-10.7633104,-88.4055023,114.327011,1.77535498,-0.289585054,-2.19597769,2.8406384,0.000239899207,0.000255435123,0.000160402749,-8.11595982e-08,8,4,176,37,37,2.0,PIXEL,0,4,176,176
