particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,0,0,0,0,-2.70367217,-1.20819259,-8.15392876,0.105658375,1
4503599660924928,13,0,0,0,0,0,2.41906452,-3.93658304,6.50608253,0.105658375,-1
4503599677702144,13,0,0,0,0,0,-3.84292316,1.46005034,16.013113,0.105658375,-1
4503599694479360,13,0,0,0,0,0,0.731242359,2.0024724,-9.43481255,0.105658375,-1
4503599711256576,13,0,0,0,0,0,-1.39294136,3.38303256,5.83076954,0.105658375,-1
4503599728033792,-13,0,0,0,0,0,-4.77546549,0.185983822,11.1659203,0.105658375,1
4503599744811008,13,0,0,0,0,0,1.35977733,-0.905493021,-2.41452098,0.105658375,-1
4503599761588224,13,0,0,0,0,0,1.12880218,-0.863972723,13.289382,0.105658375,-1
4503599778365440,-13,0,0,0,0,0,-3.22555685,-3.76199245,34.5274315,0.105658375,1
4503599795142656,-13,0,0,0,0,0,-0.226926863,-0.482750714,4.22337389,0.105658375,1
4503599811919872,13,0,0,0,0,0,-1.90768039,-1.09248054,-0.259763062,0.105658375,-1
4503599828697088,-13,0,0,0,0,0,1.62043023,1.74231565,-23.1495914,0.105658375,1
4503599845474304,-13,0,0,0,0,0,1.3579247,-2.73690724,-29.4001598,0.105658375,1
4503599862251520,13,0,0,0,0,0,-1.30514741,-0.421247542,6.65763092,0.105658375,-1
4503599879028736,13,0,0,0,0,0,1.3897413,0.891598523,1.25889146,0.105658375,-1
4503599895805952,13,0,0,0,0,0,0.568778515,-3.31879544,0.442767054,0.105658375,-1
4503599912583168,13,0,0,0,0,0,2.97202945,-1.42947173,31.0351734,0.105658375,-1
4503599929360384,-13,0,0,0,0,0,0.322314888,-4.47142649,-19.376461,0.105658375,1
4503599946137600,-13,0,0,0,0,0,-2.22584367,-2.30336475,26.7573299,0.105658375,1
4503599962914816,13,0,0,0,0,0,-0.480228871,4.55752039,1.26181626,0.105658375,-1
