particle_id,geometry_id,tx,ty,tz,tt,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,index
4503599845474304,504403982899237632,118.167419,112.522743,-702,720.717041,6.33182621,5.96754503,-37.432682,38.4307251,-9.26886241e-06,-8.94549667e-05,-1.57837985e-05,-4.37479031e-08,4
4503599929360384,504403982899243520,-163.407501,40.7537575,-698,718.033813,-7.43052673,1.90086854,-31.7904301,32.7027321,-0.000508991594,-0.000889776391,6.58296194e-05,-4.57648994e-08,5
4503599845474304,504404120338191104,101.26506,96.5670853,-602,618.050842,6.32218933,5.97831821,-37.4325943,38.4307251,3.20106592e-05,-0.000619477767,-9.34833151e-05,-4.00240623e-08,3
4503599711256576,504404120338193920,-45.0409508,169.997299,-598,623.332764,-1.48058844,5.38417292,-18.9934158,19.7975368,-8.56727565e-05,7.19780001e-05,2.71290519e-05,-4.43812773e-08,3
4503599929360384,504404120338196992,-140.028427,34.7964401,-598,615.164124,-7.43443727,1.88726759,-31.7903271,32.7027321,0.000568728021,-0.000556646613,-0.000165998368,-3.79583938e-08,4
4503599845474304,576460889742396160,24.5864391,23.601078,-146.581329,150.49173,6.28564119,6.02020025,-37.4320412,38.4307289,-0.00203892193,-0.00192768849,-0.000651918584,-3.69754503e-07,1
4503599845474304,576460889742400000,22.6936569,21.7879009,-135.308517,138.918167,6.28517532,6.02122784,-37.4319534,38.4307289,-0.000620865379,0.000107199521,-8.68050047e-05,-1.89734862e-07,0
4503599711256576,576460889742400768,-7.84115839,30.5640774,-107.251396,111.798325,-1.39852238,5.4106431,-18.9921207,19.7975445,0.000838707783,-0.000521623646,-0.000209615464,-6.92951744e-07,0
4503599644147712,576460889742401536,-31.1981659,5.16238213,-82.1782761,88.083313,-1.41873348,0.224561185,-3.73220468,4.00046873,-0.00159013958,-0.000691560621,0.000563434442,-1.25964718e-07,0
4503599929360384,576460889742401536,-31.0610962,7.59137964,-132.538483,136.341721,-7.44896841,1.83005071,-31.7902794,32.7027397,0.00105913531,-0.000286441762,-0.000264418195,-2.17206036e-07,0
4503599660924928,576460889742403840,29.8683186,11.3312016,-33.50103,46.3047218,2.77255535,1.06084836,-3.11212277,4.30220127,0.00051812653,0.000105056584,0.000497631147,-1.02741048e-07,0
4503599660924928,576460889742404096,31.9765491,12.1383429,-35.8668518,49.5757599,2.77258968,1.06221747,-3.11162519,4.30220127,0.000161889329,0.000548472162,0.0003316566,-7.50916058e-08,1
4503599946137600,576460889742404352,20.7719269,25.4392242,-1.35526717,32.9239349,1.16249859,1.43881893,-0.076508075,1.85435164,-3.64391926e-05,4.37864874e-05,0.000271498691,-5.01784747e-08,0
4503599761588224,576460889742404352,16.6363354,27.4320793,-16.1241589,35.9089279,4.20381689,6.9152689,-4.06684637,9.05778217,-0.000112447087,-0.000242917959,-0.000528998382,-1.12531104e-07,0
4503599728033792,576460889742404352,13.0093184,29.1798992,-49.246109,58.7423096,0.638874471,1.40940571,-2.3852005,2.84515905,-0.0001654222,0.000329902308,0.000150762964,-8.37431742e-08,0
