particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,0,0,0,0,2.29750562,-0.757087588,-1.42695928,0.105658375,-1
4503599660924928,-13,0,0,0,0,0,2.14924479,-8.26693058,-22.12146,0.105658375,1
4503599677702144,13,0,0,0,0,0,-1.96274722,-2.58848667,-1.50721395,0.105658375,-1
4503599694479360,-13,0,0,0,0,0,1.45115948,2.31232762,-6.78383827,0.105658375,1
4503599711256576,13,0,0,0,0,0,7.2396183,2.88083744,10.9833097,0.105658375,-1
4503599728033792,13,0,0,0,0,0,2.68166137,1.0375458,-15.8433075,0.105658375,-1
4503599744811008,-13,0,0,0,0,0,2.47279286,-8.47190952,-7.25774908,0.105658375,1
4503599761588224,13,0,0,0,0,0,5.35172033,-7.26022243,-47.5031281,0.105658375,-1
4503599778365440,-13,0,0,0,0,0,-1.14883626,-4.66794872,15.4790335,0.105658375,1
4503599795142656,-13,0,0,0,0,0,7.79398632,-3.98350978,33.9943619,0.105658375,1
4503599811919872,-13,0,0,0,0,0,5.45357609,5.41640854,21.1761723,0.105658375,1
4503599828697088,-13,0,0,0,0,0,2.47555757,2.15235543,3.34335208,0.105658375,1
4503599845474304,-13,0,0,0,0,0,-1.93087721,4.32378912,-12.2350998,0.105658375,1
4503599862251520,13,0,0,0,0,0,-2.3064816,-4.13337803,9.07012653,0.105658375,-1
4503599879028736,-13,0,0,0,0,0,3.15573573,2.35990691,1.63095784,0.105658375,1
4503599895805952,13,0,0,0,0,0,-0.634729564,2.36813807,-2.88416815,0.105658375,-1
4503599912583168,13,0,0,0,0,0,-0.984117746,0.960129082,-5.69686699,0.105658375,-1
4503599929360384,13,0,0,0,0,0,0.0610649884,1.15033615,1.06947052,0.105658375,-1
4503599946137600,13,0,0,0,0,0,2.28932095,-6.47567606,25.4320869,0.105658375,-1
4503599962914816,13,0,0,0,0,0,1.84537625,-2.32722521,-10.5318251,0.105658375,-1
