particle_id,geometry_id,tx,ty,tz,tt,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,index
4503599660924928,936748997370971392,-308.680817,-195.675629,-1034.47144,1097.21887,-2.80216169,-1.65368772,-9.21053505,9.76892567,-6.99533994e-05,-0.000235027241,6.37553021e-05,-2.56519826e-07,7
4503599660924928,936748997370971648,-303.25705,-192.470566,-1016.63776,1078.30396,-2.80090809,-1.65534985,-9.21061802,9.76892662,0.000668202469,-0.0015898227,8.35013125e-05,-7.64591391e-07,6
4503599694479360,936748997370986752,-215.497787,-284.623627,-900.710205,968.906067,-3.85243201,-4.89547777,-15.7069111,16.8974895,0.000950445828,-0.000140569959,-0.000187473008,-1.67301403e-06,5
4503599744811008,936748997371064576,316.175385,175.452286,-430.506409,562.236389,7.98351622,4.31155634,-10.7962856,14.1030846,-5.35610925e-05,6.06011599e-05,-1.52546509e-05,-1.15122653e-07,6
4503599912583168,936748997371066368,108.576866,343.467804,-450.942902,577.18103,2.36139774,7.80910826,-10.213191,13.0720615,6.73453396e-05,6.85430859e-05,6.83361359e-05,-2.77962926e-07,6
4503599728033792,936748997371104768,254.842361,-249.208923,-129.538834,379.320831,4.3617816,-4.10993576,-2.18111777,6.3784914,-5.88681105e-05,-0.000145583588,0.000156844166,-7.86475098e-08,8
4503599761588224,936748997371111168,-170.059906,315.010376,-99.9354248,371.783325,-2.17542744,4.25399065,-1.33505595,4.96210241,-0.000214015003,-0.000408124994,-0.000951004331,-7.72820528e-08,5
4503599644147712,936748997371133184,230.158051,-273.021729,73.9204636,364.713684,4.58799028,-5.27947521,1.44826138,7.14360809,-0.000254381623,-0.000190093502,0.000106944208,-1.1992787e-06,6
4503599946137600,936748997371153920,-145.592163,332.186981,164.988403,398.700104,-1.37961173,2.87548304,1.45235574,3.50602794,-0.000296360842,-0.000163485354,4.19386888e-05,-7.65533201e-08,7
4503599879028736,936748997371159808,-43.5155716,-358.88324,346.045441,500.531311,-0.445351005,-4.56999254,4.39589834,6.35753536,-4.32357992e-05,4.72202782e-06,3.45645049e-07,-1.26489283e-07,7
4503599879028736,936748997371160064,-42.9554634,-353.157928,340.538025,492.566254,-0.449041933,-4.56978512,4.3957386,6.35753536,0.000258115731,0.00012843679,0.000159663425,-1.47911365e-07,6
4503599929360384,936748997371183872,-293.604767,210.455658,416.500122,551.354126,-7.46223021,5.48868752,10.6990252,14.1524153,0.000411569694,0.000430727348,6.58962017e-05,-1.33911442e-07,7
4503599862251520,936748997371211264,-122.836899,337.820709,669.727783,760.126709,-2.09684801,6.07628298,11.987299,13.6023703,-0.00179668679,-0.00108047959,0.000233001323,-1.94022732e-07,8
4503599895805952,936748997371232512,95.3000946,-347.998444,875.584778,948.029968,0.370765299,-0.937032044,2.43255115,2.63514042,-0.00122778222,-0.00232373341,-0.000709699234,-1.82393535e-07,6
4503599744811008,936749134810015232,438.263733,240.66864,-595.208679,777.383545,8.02059841,4.23689938,-10.7983561,14.1030836,0.000654805684,0.000429281499,0.00065510039,-1.93587567e-07,7
4503599912583168,936749134810017536,149.25119,480.572723,-629.973633,806.326782,2.27861428,7.83307362,-10.2136421,13.0720606,8.74430116e-05,-0.000306481379,-0.0002153565,-1.37248449e-07,7
4503599728033792,936749134810091008,361.075439,-347.868469,-182.298813,533.624756,4.42090034,-4.04649544,-2.18070889,6.37849045,0.000501141301,0.000728000596,-0.000334522658,-6.46320046e-08,9
4503599761588224,936749134810119936,-233.060776,440.916382,-139.302521,518.007202,-2.09945679,4.29266453,-1.33289313,4.96210194,-0.000302738074,-0.000114367183,0.000109152439,-1.58125559e-07,6
4503599644147712,936749134810150656,322.696045,-378.23288,102.934418,507.819244,4.65204716,-5.22369671,1.44616055,7.14360523,0.000106657906,6.49825961e-05,-0.000108770786,-7.81216016e-08,7
4503599946137600,936749134810179584,-208.211441,458.363129,229.132675,553.551636,-1.45490181,2.83889055,1.45086813,3.50602651,-0.000228319594,0.000136120405,-0.00049561396,-8.52379003e-08,8
4503599879028736,936749134810227968,-55.4218674,-493.289978,475.228851,687.361206,-0.368548006,-4.57550907,4.39726734,6.35753345,0.00192683563,3.49637303e-05,0.000197298112,-1.03711692e-07,8
4503599929360384,936749134810261248,-404.964722,293.147003,576.703857,763.266296,-7.41289234,5.55444145,10.6993866,14.1524143,-0.000359734462,-0.000225711541,-0.000132245405,-1.3244113e-07,8
4503599862251520,936749134810319104,-167.900497,471.098816,932.123718,1057.87,-2.01893592,6.10214233,11.9875364,13.6023693,0.0011358175,0.000248313154,6.46328481e-05,-1.78945328e-07,9
4503599744811008,936749272248944384,584.962402,317.142395,-792.126221,1034.57849,8.0648737,4.14885283,-10.7995653,14.1030827,-0.000326991751,-0.000211268532,-0.000325156376,-1.41323824e-07,9
4503599744811008,936749272248944640,579.34375,314.250488,-784.601562,1024.75208,8.06283283,4.15302229,-10.7994862,14.1030827,0.000306456088,-0.000800669892,-7.89411206e-05,-9.93522278e-08,8
4503599912583168,936749272248947712,192.943069,634.113892,-829.852356,1062.13916,2.18598127,7.85950279,-10.213583,13.0720596,0.000329365692,-0.000774184184,-0.000525048119,-1.22508254e-07,8
4503599728033792,936749272249095936,481.004364,-455.843384,-241.028702,705.378601,4.48572302,-3.97398067,-2.18168163,6.37848949,-0.000396370189,-0.00039665628,-9.21291139e-05,-8.54003304e-08,10
4503599761588224,936749272249107712,-302.472046,586.529541,-184.293198,685.515076,-2.01249123,4.33435011,-1.33213103,4.96210098,0.0011759951,0.000406869774,-0.000451856962,-7.14767907e-08,7
4503599644147712,936749272249173760,433.555573,-500.947479,137.121429,676.710205,4.72618389,-5.15695095,1.44532478,7.14360428,-5.16537284e-06,-5.59715227e-06,-3.55751149e-06,-9.6588181e-08,9
4503599644147712,936749272249174016,429.25058,-496.247528,135.80452,670.201294,4.72322464,-5.15981579,1.44477272,7.14360428,0.000141100274,0.000283874368,0.000552088779,-6.2400872e-08,8
4503599946137600,936749272249238016,-281.543091,596.399902,300.203217,725.340149,-1.53797996,2.79325414,1.45375454,3.50602579,0.000556210056,0.000620488485,-0.00060431083,-7.06802581e-08,9
4503599879028736,936749272249300992,-66.9890976,-660.49353,635.797852,919.501648,-0.27147463,-4.58261251,4.39693308,6.3575325,0.000685839099,0.000381132675,0.000439276308,-1.41330901e-07,9
4503599929360384,936749272249344512,-532.645996,389.844513,761.70282,1007.97241,-7.35618448,5.62755203,10.7003202,14.1524134,0.00018439324,0.000945306558,-0.000370581285,-1.04223176e-07,9
4503599778365440,1008806453969946624,-207.487274,-244.332047,1215.5,1257.06177,-6.27932739,-7.53436613,37.1840401,38.4559555,0.000408598629,0.000949750189,0.000261328561,-9.54338617e-08,6
4503599962914816,1008806453969951488,332.866882,-9.2994051,1218.5,1263.19897,6.22336817,-0.0704624131,22.7681484,23.6037064,0.000179961004,-0.00121911161,-5.30896941e-05,-9.01608175e-08,6
4503599828697088,1008806453969955328,-23.4304867,282.699249,1215.5,1248.16699,-0.681898057,9.26693153,39.8310623,40.9006805,-0.000285966118,-6.08306909e-05,9.19343802e-06,-6.08040907e-08,4
4503599895805952,1008806453969962752,154.054642,-480.335175,1224.5,1326.11694,0.451777667,-0.906519115,2.43041444,2.63513899,4.6104371e-05,-0.000764284225,-0.000293854275,-6.98870437e-08,7
4503599811919872,1008806453969965056,389.674347,-108.322021,1221.5,1286.7627,4.56528187,-1.14628136,14.2194376,14.9786291,2.97469996e-05,0.000276820036,1.26453997e-05,-1.10885289e-07,5
4503599677702144,1008806453969969152,20.228405,402.922058,1221.5,1286.83167,0.194565237,1.51355934,4.60004139,4.84770679,-0.00104876328,0.0010725566,-0.000308892806,-8.69909584e-08,8
4503599862251520,1008806453969985280,-215.058777,617.221375,1218.5,1382.82202,-1.93018734,6.13066626,11.9876013,13.6023684,0.000575694838,0.000249881938,-3.51982453e-05,-7.3594137e-08,10
4503599778365440,1008806591408900096,-254.643402,-301.156494,1495.5,1546.63623,-6.24537277,-7.56048298,37.1844559,38.4559555,0.0002813795,-0.000462770986,-4.69324623e-05,-9.25200681e-08,7
4503599711256576,1008806591408902912,160.721008,-236.867188,1498.5,1525.59973,4.92057371,-7.09881163,45.2211189,46.0387421,-6.29133274e-06,-0.0002632502,-4.07202169e-05,-7.75764661e-08,6
4503599845474304,1008806591408907776,72.3203049,245.007111,1495.5,1517.17432,1.3837713,4.43362141,27.1645603,27.5589619,-5.13215709e-05,7.57126145e-07,2.290476e-06,-1.97373453e-07,8
4503599845474304,1008806591408908032,72.4731369,245.49675,1498.5,1520.2179,1.38401353,4.43353081,27.1645622,27.5589619,-0.000861052191,-0.000102853191,6.05758723e-05,-6.58855299e-08,9
4503599828697088,1008806591408908800,-28.0806789,347.845825,1495.5,1535.68433,-0.641961277,9.26876831,39.8312988,40.9006805,9.61188107e-06,-1.5621772e-05,3.71627925e-06,-7.18973894e-08,5
4503599778365440,1008806591408913920,-255.650909,-302.376587,1501.5,1552.84143,-6.24120426,-7.56225538,37.1847954,38.4559555,0.000600811327,-0.000182873744,6.35426477e-05,-9.95534535e-08,8
4503599811919872,1008806591408918528,479.702759,-130.357285,1501.5,1581.71191,4.58007812,-1.09309137,14.2188663,14.9786272,-0.00146202266,-0.000769543112,0.000411594519,-7.61272432e-08,6
4503599962914816,1008806591408919040,410.217316,-9.91593075,1501.5,1556.58301,6.22255039,-0.0282156114,22.7684612,23.6037045,-2.36455198e-05,-0.000110549998,6.21505069e-06,-1.06027855e-07,7
4503599677702144,1008806591408922624,33.6885071,494.887665,1501.5,1581.92688,0.249738812,1.50846696,4.59904861,4.84770632,0.000374310301,0.000670206442,-0.000240465481,-2.32034424e-07,9
4503599895805952,1008806591408931072,208.41626,-580.833557,1498.5,1623.23303,0.512081087,-0.874688983,2.43012071,2.63513899,-0.000160145908,0.000209820646,0.00010917613,-6.96500209e-08,8
4503599711256576,1008806728847856384,193.431549,-283.891296,1798.5,1831.02039,4.94481993,-7.07853794,45.2216492,46.0387421,-0.000165726276,-0.00064179505,-8.27133772e-05,-3.63360755e-07,7
4503599845474304,1008806728847861248,87.7641144,293.92395,1795.5,1821.53064,1.41307616,4.42469835,27.164505,27.55896,-0.000709858199,-0.000763557502,0.000161211443,-6.56718413e-08,10
4503599845474304,1008806728847861504,87.9201126,294.412506,1798.5,1824.57422,1.41265929,4.42384148,27.1646671,27.55896,-0.000491919986,0.00158730184,-0.000233025959,-5.83698849e-08,11
4503599778365440,1008806728847867392,-305.851227,-363.510406,1801.5,1863.09644,-6.20757818,-7.59373713,37.1840057,38.4559517,-0.000341488165,0.000246942946,-6.64272829e-06,-6.03248509e-08,9
4503599962914816,1008806728847872512,492.206604,-9.96521473,1801.5,1867.58813,6.22173214,0.0220196638,22.7686901,23.6037045,9.33099909e-06,3.37441888e-05,-2.71712702e-06,-1.29928594e-07,8
4503599828697088,1008806728847876352,-32.8875198,419.774841,1804.5,1852.98315,-0.600252748,9.27329636,39.8308907,40.9006767,0.00139869505,-0.000480141782,0.000132706002,-1.26330221e-07,6
4503599811919872,1008806728847886848,574.508728,-152.386749,1795.5,1891.41235,4.59182453,-1.03701663,14.2192783,14.9786272,-3.86997563e-05,-0.000149639876,1.48585968e-06,-9.23757639e-08,7
4503599677702144,1008806728847891200,51.7240257,592.013672,1798.5,1895.00122,0.308348387,1.49832344,4.59880829,4.84770584,-0.000586326525,9.52642949e-05,8.16828287e-06,-6.5039238e-08,10
