particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,0,0,0,0,-5.35022736,1.55424178,-21.8474846,0.105658375,1
4503599660924928,-13,0,0,0,0,0,-0.386481881,1.50167537,5.92114353,0.105658375,1
4503599677702144,13,0,0,0,0,0,6.52344894,4.99961233,-4.52380991,0.105658375,-1
4503599694479360,13,0,0,0,0,0,-5.98160887,-0.516036987,-10.2409286,0.105658375,-1
4503599711256576,13,0,0,0,0,0,-2.33508945,2.41839457,19.3851337,0.105658375,-1
4503599728033792,-13,0,0,0,0,0,1.12055135,-1.49905658,-4.47491312,0.105658375,1
4503599744811008,13,0,0,0,0,0,3.37141228,1.28304124,-6.30805302,0.105658375,-1
4503599761588224,-13,0,0,0,0,0,-3.59716487,3.32840204,1.72300577,0.105658375,1
4503599778365440,13,0,0,0,0,0,4.1819191,5.67968559,38.3572044,0.105658375,-1
4503599795142656,-13,0,0,0,0,0,6.38112926,4.23040438,13.770402,0.105658375,1
4503599811919872,-13,0,0,0,0,0,3.03332186,1.3036592,-8.29614353,0.105658375,1
4503599828697088,-13,0,0,0,0,0,-4.74560642,1.8831141,21.6424923,0.105658375,1
4503599845474304,13,0,0,0,0,0,0.567429483,-2.17561913,-7.85756397,0.105658375,-1
4503599862251520,-13,0,0,0,0,0,1.31224144,1.31038046,-10.1517639,0.105658375,1
4503599879028736,13,0,0,0,0,0,4.34393835,5.84831619,-20.5879536,0.105658375,-1
4503599895805952,13,0,0,0,0,0,3.22278404,0.556033015,-5.39926529,0.105658375,-1
4503599912583168,13,0,0,0,0,0,-9.51356792,0.339314669,-8.0884943,0.105658375,-1
4503599929360384,13,0,0,0,0,0,-2.78397179,-1.10701895,-3.5713892,0.105658375,-1
4503599946137600,13,0,0,0,0,0,0.762645423,7.00658464,2.84378219,0.105658375,-1
4503599962914816,-13,0,0,0,0,0,8.43714905,4.01810789,42.6718941,0.105658375,1
