particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,0,0,0,0,-1.9805361,3.91919446,-1.4058665,0.105658375,1
4503599660924928,-13,0,0,0,0,0,-3.27579474,1.01989055,16.1233273,0.105658375,1
4503599677702144,13,0,0,0,0,0,-3.5692873,1.28605926,-0.916934192,0.105658375,-1
4503599694479360,13,0,0,0,0,0,2.9271369,-3.65944242,4.87361097,0.105658375,-1
4503599711256576,13,0,0,0,0,0,-0.91976583,0.593187749,-8.76331615,0.105658375,-1
4503599728033792,13,0,0,0,0,0,-1.2365818,1.36651039,-16.8747253,0.105658375,-1
4503599744811008,-13,0,0,0,0,0,-2.61932325,-1.63442516,-3.58981967,0.105658375,1
4503599761588224,-13,0,0,0,0,0,1.05894744,0.429481208,0.302760988,0.105658375,1
4503599778365440,13,0,0,0,0,0,0.161279261,-0.648672998,0.49185282,0.105658375,-1
4503599795142656,13,0,0,0,0,0,4.7476306,0.982850611,9.15192127,0.105658375,-1
4503599811919872,-13,0,0,0,0,0,-0.800315261,3.337955,25.5132141,0.105658375,1
4503599828697088,13,0,0,0,0,0,-4.50935507,0.798088253,-4.23348379,0.105658375,-1
4503599845474304,13,0,0,0,0,0,-1.25115347,-3.33248878,20.5754719,0.105658375,-1
4503599862251520,-13,0,0,0,0,0,1.86824691,-3.04859972,1.25083244,0.105658375,1
4503599879028736,13,0,0,0,0,0,3.02234411,-0.718627334,15.9326944,0.105658375,-1
4503599895805952,13,0,0,0,0,0,-0.0657976791,-2.40710211,-9.75103092,0.105658375,-1
4503599912583168,-13,0,0,0,0,0,-0.891855836,0.713263333,6.51533127,0.105658375,1
4503599929360384,13,0,0,0,0,0,-0.828659236,3.80526876,-4.46185303,0.105658375,-1
4503599946137600,13,0,0,0,0,0,-0.82247591,-2.05496526,3.65227866,0.105658375,-1
4503599962914816,-13,0,0,0,0,0,1.44228637,3.53087807,17.5507507,0.105658375,1
