particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,0,0,0,0,0.0347755589,1.65159988,-14.3168726,0.105658375,1
4503599660924928,13,0,0,0,0,0,-2.39881063,3.1151824,-28.8361397,0.105658375,-1
4503599677702144,13,0,0,0,0,0,1.82455659,4.25247622,-8.56070423,0.105658375,-1
4503599694479360,-13,0,0,0,0,0,-4.1194315,-0.243651211,25.9850254,0.105658375,1
4503599711256576,-13,0,0,0,0,0,4.35319901,0.143320084,6.3851161,0.105658375,1
4503599728033792,13,0,0,0,0,0,-4.2502923,-1.32105207,-0.494541138,0.105658375,-1
4503599744811008,13,0,0,0,0,0,-1.77194631,-0.417945772,-17.1084194,0.105658375,-1
4503599761588224,13,0,0,0,0,0,-2.41091681,3.46059918,16.2583828,0.105658375,-1
4503599778365440,-13,0,0,0,0,0,-0.22970736,2.11595106,0.338597715,0.105658375,1
4503599795142656,-13,0,0,0,0,0,-0.358598143,1.28850937,2.93455768,0.105658375,1
4503599811919872,13,0,0,0,0,0,1.43276119,1.73595476,-0.38145417,0.105658375,-1
4503599828697088,13,0,0,0,0,0,-1.88531148,0.835372925,-1.79885316,0.105658375,-1
4503599845474304,-13,0,0,0,0,0,-0.414510995,1.14586711,0.749148786,0.105658375,1
4503599862251520,-13,0,0,0,0,0,-1.6033144,4.65062475,9.87227917,0.105658375,1
4503599879028736,13,0,0,0,0,0,-3.16036892,-1.29743147,3.86676931,0.105658375,-1
4503599895805952,13,0,0,0,0,0,3.81073785,-2.623106,-2.40185595,0.105658375,-1
4503599912583168,-13,0,0,0,0,0,0.34444505,-1.59948087,10.5463247,0.105658375,1
4503599929360384,-13,0,0,0,0,0,0.998780429,0.417674869,1.05614257,0.105658375,1
4503599946137600,-13,0,0,0,0,0,0.682037234,-4.40320921,-0.496076733,0.105658375,1
4503599962914816,-13,0,0,0,0,0,2.85012054,3.03590989,35.4208908,0.105658375,1
